


+--------------------------------------------------------+
|  Absolute and Relative Error for Approximate Counter   |
+--------------+------------------+----------------------+
|    Letter    |  Absolute Error  |    Relative Error    |
+--------------+------------------+----------------------+
|      E       |      21324       |  0.998735422228467   |
|      A       |      10797       |  0.9976898909628534  |
|      U       |       9986       |  0.9975027469783239  |
|      I       |       9799       |  0.9975567545556348  |
|      T       |       9221       |  0.9974040021633316  |
|      R       |       8390       |  0.9971476111243166  |
|      O       |       8268       |  0.9971056439942113  |
|      S       |       7663       |  0.9968778457135423  |
|      C       |       7523       |  0.9969520275642725  |
|      L       |       6756       |  0.996607169198997   |
|      N       |       4522       |  0.9951584507042254  |
|      P       |       4393       |  0.9954679356446862  |
|      V       |       3643       |  0.9945399945399945  |
|      M       |       3003       |  0.9937127729980145  |
|      F       |       2228       |  0.9915442812639075  |
|      D       |       1447       |  0.9870395634379263  |
|      G       |       1408       |  0.9873772791023843  |
|      J       |       1306       |  0.986404833836858   |
|      Q       |       1224       |  0.9855072463768116  |
|      B       |       1137       |  0.9852686308492201  |
|      H       |       874        |  0.9820224719101124  |
|      Z       |       415        |  0.962877030162413   |
|      X       |       394        |  0.9633251833740831  |
|      Y       |       375        |  0.9640102827763496  |
|      W       |       184        |  0.934010152284264   |
|      K       |       125        |  0.9057971014492754  |
|  ---------   |   -----------    |    -------------     |
|  ---MEAN---  |     4861.731     |        0.984         |
| --HIGHEST--  |      21324       |        0.999         |
|  --LOWEST--  |       100        |        0.906         |
+--------------+------------------+----------------------+
